ID,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,X3PointShots,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.3PointShots,Opp.FreeThrows,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
38,ATL,38,2015/1/13,Away,PHI,W,105,87,0.483,0.522,0.563,15,47,34,6,3,16,17,0.408,0.36,0.64,12,35,20,8,6,18,22
39,ATL,39,2015/1/14,Away,BOS,W,105,91,0.493,0.345,0.852,6,35,23,13,7,12,12,0.41,0.333,0.857,13,40,22,5,2,16,23
40,ATL,40,2015/1/16,Away,TOR,W,110,89,0.609,0.522,0.875,4,32,30,7,6,17,17,0.427,0.24,0.765,12,35,20,7,3,17,16
41,ATL,41,2015/1/17,Away,CHI,W,107,99,0.476,0.423,0.762,9,40,31,10,7,9,19,0.463,0.346,0.8,7,43,25,5,5,13,21
42,ATL,42,2015/1/19,Home,DET,W,93,82,0.44,0.3,0.714,5,42,31,8,1,10,19,0.354,0.257,0.577,20,61,17,6,2,18,17
43,ATL,43,2015/1/21,Home,IND,W,110,91,0.5,0.448,0.731,9,43,30,12,3,16,23,0.397,0.2,0.923,10,42,22,7,2,18,21
44,ATL,44,2015/1/23,Home,OKC,W,103,93,0.482,0.4,1,10,47,27,6,5,16,13,0.414,0.385,0.611,9,36,23,11,7,11,16
45,ATL,45,2015/1/25,Home,MIN,W,112,100,0.563,0.357,0.667,8,29,30,8,5,10,20,0.521,0.375,0.8,11,37,24,4,2,13,18
46,ATL,46,2015/1/28,Home,BRK,W,113,102,0.463,0.364,0.962,12,45,29,4,4,11,18,0.448,0.375,0.833,9,35,26,6,5,8,20
47,ATL,47,2015/1/30,Home,POR,W,105,99,0.476,0.478,0.636,7,42,26,12,4,13,17,0.448,0.367,0.909,9,46,25,7,3,17,20
48,ATL,48,2015/1/31,Home,PHI,W,91,85,0.436,0.357,0.722,8,44,20,6,5,12,16,0.383,0.4,0.6,10,44,21,7,4,14,26
49,ATL,49,2015/2/2,Away,NOP,L,100,115,0.449,0.318,0.765,9,32,19,6,3,6,15,0.5,0.391,0.87,17,52,30,5,10,13,15
50,ATL,50,2015/2/4,Home,WAS,W,105,96,0.475,0.44,0.667,9,46,24,7,2,14,22,0.442,0.25,0.8,5,41,19,7,2,12,24
51,ATL,51,2015/2/6,Home,GSW,W,124,116,0.494,0.556,0.892,4,38,28,13,4,13,19,0.456,0.364,0.667,19,51,31,7,7,14,24
52,ATL,52,2015/2/8,Away,MEM,L,88,94,0.413,0.4,0.909,3,37,17,6,5,14,16,0.391,0.231,0.905,17,55,18,8,4,11,12
53,ATL,53,2015/2/9,Away,MIN,W,117,105,0.512,0.476,0.95,10,36,26,14,6,10,21,0.452,0.313,0.727,23,50,24,6,8,16,19
54,ATL,54,2015/2/11,Away,BOS,L,88,89,0.423,0.241,0.652,5,44,23,6,5,12,17,0.323,0.323,0.95,16,56,21,7,4,10,23
55,ATL,55,2015/2/20,Home,TOR,L,80,105,0.33,0.211,0.667,17,52,19,6,8,22,10,0.448,0.433,0.75,15,52,27,15,9,13,20
56,ATL,56,2015/2/22,Away,MIL,W,97,86,0.402,0.3,0.857,16,43,23,10,7,20,17,0.444,0.25,1,8,38,19,10,7,24,24
57,ATL,57,2015/2/25,Home,DAL,W,104,87,0.459,0.371,0.813,10,41,28,7,2,11,18,0.425,0.161,0.778,13,44,20,0,3,15,18
58,ATL,58,2015/2/27,Home,ORL,W,95,88,0.444,0.452,0.75,11,42,27,11,5,18,12,0.45,0.346,0.538,10,40,22,10,7,17,17
59,ATL,59,2015/2/28,Away,MIA,W,93,91,0.43,0.4,0.75,8,37,23,12,5,18,19,0.395,0.269,0.952,14,47,17,12,3,23,16
60,ATL,60,2015/3/3,Home,HOU,W,104,96,0.453,0.276,0.857,9,49,23,3,6,15,13,0.433,0.341,0.444,8,41,30,6,6,12,21
61,ATL,61,2015/3/6,Home,CLE,W,106,97,0.512,0.286,0.824,11,38,27,10,4,12,22,0.42,0.342,0.788,10,37,18,7,6,17,14
62,ATL,62,2015/3/7,Away,PHI,L,84,92,0.39,0.44,0.813,5,42,20,8,9,19,14,0.368,0.351,0.529,17,55,24,14,3,16,12
63,ATL,63,2015/3/9,Home,SAC,W,130,105,0.602,0.556,0.571,10,33,42,8,6,13,18,0.481,0.4,0.95,16,40,21,10,2,16,12
64,ATL,64,2015/3/11,Away,DEN,L,102,115,0.42,0.333,0.926,8,32,18,11,3,17,18,0.5,0.419,0.9,11,44,28,8,9,19,20
65,ATL,65,2015/3/13,Away,PHO,W,96,87,0.47,0.444,0.833,7,38,22,11,6,11,20,0.41,0.385,0.619,11,45,19,7,6,18,14
66,ATL,66,2015/3/15,Away,LAL,W,91,86,0.447,0.217,0.667,7,34,25,9,6,10,14,0.4,0.389,0.733,19,54,21,6,4,21,22
67,ATL,67,2015/3/16,Away,SAC,W,110,103,0.452,0.387,0.733,9,39,25,11,5,12,24,0.469,0.35,0.8,9,45,23,7,5,20,29
68,ATL,68,2015/3/18,Away,GSW,L,95,114,0.356,0.364,0.833,15,44,24,14,4,15,20,0.524,0.467,0.6,10,44,39,8,7,18,23
69,ATL,69,2015/3/20,Away,OKC,L,115,123,0.5,0.448,0.8,7,34,20,9,4,11,16,0.512,0.433,0.923,10,44,26,6,6,12,19
70,ATL,70,2015/3/22,Home,SAS,L,95,114,0.475,0.5,1,6,29,25,13,2,18,15,0.561,0.412,0.882,10,43,30,8,4,16,14
71,ATL,71,2015/3/25,Away,ORL,W,95,83,0.433,0.323,0.7,12,45,21,9,8,13,17,0.41,0.188,0.8,10,42,19,7,3,17,14
72,ATL,72,2015/3/27,Home,MIA,W,99,86,0.514,0.333,0.792,5,38,31,12,4,16,13,0.39,0.314,0.733,11,41,20,9,6,18,20
73,ATL,73,2015/3/28,Away,CHO,L,100,115,0.43,0.5,0.786,7,36,32,6,4,10,17,0.525,0.462,0.864,7,42,28,4,6,8,16
74,ATL,74,2015/3/30,Home,MIL,W,101,88,0.456,0.31,0.833,12,42,29,5,4,11,20,0.453,0.235,0.696,13,39,26,4,2,11,22
75,ATL,75,2015/3/31,Away,DET,L,95,105,0.476,0.32,0.7,12,43,25,8,0,17,14,0.494,0.379,0.706,9,38,26,11,6,11,14
76,ATL,76,2015/4/4,Home,BRK,W,131,99,0.598,0.515,0.842,7,34,40,15,4,12,16,0.488,0.435,0.647,12,39,22,7,2,21,15
77,ATL,77,2015/4/7,Home,PHO,W,96,69,0.494,0.16,0.714,8,54,21,9,4,15,17,0.313,0.2,0.722,9,37,16,5,6,15,9
78,ATL,78,2015/4/8,Away,BRK,W,114,111,0.5,0.393,0.68,10,40,35,11,4,11,18,0.471,0.269,0.88,14,47,27,7,4,12,20
79,ATL,79,2015/4/10,Home,CHO,W,104,80,0.5,0.357,0.75,9,44,31,10,4,13,18,0.361,0.267,0.667,12,46,21,8,3,13,15
80,ATL,80,2015/4/12,Away,WAS,L,99,108,0.414,0.31,0.75,7,38,24,10,2,11,22,0.459,0.429,0.778,14,51,22,8,6,19,19
81,ATL,81,2015/4/13,Home,NYK,L,108,112,0.443,0.344,0.826,12,37,27,10,3,8,17,0.558,0.52,0.684,9,39,33,7,7,17,19
82,ATL,82,2015/4/15,Away,CHI,L,85,91,0.391,0.276,0.714,10,42,15,10,10,15,19,0.403,0.292,0.846,7,50,14,11,9,21,12
110,BOS,1,2014/10/29,Home,BRK,W,121,105,0.557,0.364,0.652,9,35,28,11,5,12,25,0.488,0.368,0.769,9,39,20,6,7,20,21
210,BOS,2,2014/11/1,Away,HOU,L,90,104,0.378,0.04,0.833,14,44,20,10,8,10,26,0.421,0.353,0.7,10,49,20,9,8,17,24
310,BOS,3,2014/11/3,Away,DAL,L,113,118,0.441,0.355,0.75,22,49,29,9,6,17,21,0.537,0.56,0.8,7,36,24,5,9,17,17
410,BOS,4,2014/11/5,Home,TOR,L,107,110,0.513,0.385,0.944,17,55,22,5,3,27,25,0.483,0.438,0.826,6,24,18,11,4,7,18
510,BOS,5,2014/11/7,Home,IND,W,101,98,0.459,0.333,0.875,9,38,26,6,3,12,19,0.455,0.263,1,14,42,18,2,6,13,17
610,BOS,6,2014/11/8,Away,CHI,W,106,101,0.519,0.368,0.75,7,45,25,6,3,12,17,0.457,0.444,0.6,11,38,26,5,2,8,16
710,BOS,7,2014/11/12,Home,OKC,L,94,109,0.446,0.273,0.846,7,35,28,5,3,8,20,0.488,0.417,0.864,8,41,23,1,3,8,13
83,BOS,8,2014/11/14,Home,CLE,L,121,122,0.545,0.3,0.826,8,39,32,7,1,14,26,0.506,0.348,0.757,8,40,22,5,5,11,21
91,BOS,9,2014/11/17,Home,PHO,L,114,118,0.517,0.4,0.645,11,44,28,10,4,18,19,0.516,0.429,0.813,8,40,30,11,2,18,23
101,BOS,10,2014/11/19,Away,PHI,W,101,90,0.494,0.3,0.619,7,44,32,11,4,15,19,0.395,0.333,0.714,9,44,22,10,2,15,20
111,BOS,11,2014/11/21,Away,MEM,L,100,117,0.432,0.333,0.714,9,38,22,7,7,12,14,0.527,0.5,0.929,9,50,31,4,4,14,16
121,BOS,12,2014/11/23,Home,POR,L,88,94,0.389,0.217,0.75,12,46,17,12,1,8,15,0.43,0.368,0.867,10,55,20,7,3,16,13
131,BOS,13,2014/11/28,Home,CHI,L,102,109,0.402,0.273,0.759,12,42,20,7,2,13,30,0.411,0.294,0.811,18,52,18,5,13,13,21
141,BOS,14,2014/11/30,Home,SAS,L,89,111,0.414,0.333,0.733,12,42,21,5,5,15,21,0.482,0.423,0.9,10,45,25,9,5,14,11
151,BOS,15,2014/12/2,Away,ATL,L,105,109,0.488,0.522,0.846,9,42,33,10,3,21,20,0.524,0.458,0.857,4,31,36,8,8,16,14
161,BOS,16,2014/12/3,Home,DET,W,109,102,0.398,0.433,0.815,8,49,28,8,6,12,21,0.363,0.296,0.69,16,55,20,7,7,11,23
171,BOS,17,2014/12/5,Home,LAL,W,113,96,0.511,0.4,0.591,10,54,29,6,2,16,19,0.413,0.375,0.737,7,38,14,2,4,12,18
181,BOS,18,2014/12/7,Home,WAS,W,101,93,0.409,0.471,0.808,9,49,20,10,7,15,21,0.366,0.407,0.667,16,52,21,5,8,19,20
191,BOS,19,2014/12/8,Away,WAS,L,132,133,0.461,0.409,0.906,14,46,27,17,4,17,30,0.521,0.438,0.824,11,49,32,10,3,23,26
