ID,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,X3PointShots,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.3PointShots,Opp.FreeThrows,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
1,ATL,1,2014/10/29,Away,TOR,L,102,109,0.5,0.591,0.529,10,42,26,6,8,17,24,0.411,0.308,0.818,16,48,26,13,9,9,22
2,ATL,2,2014/11/1,Home,IND,W,102,92,0.507,0.35,0.758,3,37,26,10,6,12,20,0.383,0.375,0.857,11,44,25,5,5,18,26
3,ATL,3,2014/11/5,Away,SAS,L,92,94,0.413,0.32,0.727,10,37,26,14,5,13,25,0.449,0.294,0.711,11,50,25,7,9,19,15
4,ATL,4,2014/11/7,Away,CHO,L,119,122,0.462,0.394,0.769,7,38,28,8,3,19,33,0.495,0.286,0.741,11,51,31,6,7,19,30
5,ATL,5,2014/11/8,Home,NYK,W,103,96,0.407,0.409,0.778,12,41,18,10,5,8,17,0.476,0.381,0.727,13,44,26,2,6,15,29
6,ATL,6,2014/11/10,Away,NYK,W,91,85,0.38,0.37,0.964,9,38,20,7,3,15,16,0.434,0.231,0.583,11,40,23,4,2,15,26
7,ATL,7,2014/11/12,Home,UTA,W,100,97,0.513,0.45,0.722,13,46,23,8,4,18,12,0.5,0.217,0.5,8,30,28,12,8,11,17
8,ATL,8,2014/11/14,Home,MIA,W,114,103,0.56,0.393,0.826,3,36,33,10,5,13,20,0.473,0.476,0.92,5,32,27,10,3,14,20
9,ATL,9,2014/11/15,Away,CLE,L,94,127,0.444,0.136,0.846,11,37,26,6,8,18,12,0.544,0.613,0.769,12,47,39,12,2,13,14
10,ATL,10,2014/11/18,Home,LAL,L,109,114,0.482,0.333,0.783,13,38,22,7,3,10,17,0.54,0.353,0.636,13,44,24,7,0,11,24
11,ATL,11,2014/11/21,Home,DET,W,99,89,0.475,0.208,0.692,8,46,20,7,5,9,18,0.373,0.19,0.958,13,45,12,6,3,12,20
12,ATL,12,2014/11/25,Away,WAS,W,106,102,0.424,0.28,0.794,12,43,17,16,6,10,23,0.429,0.45,0.724,16,47,25,2,3,20,25
13,ATL,13,2014/11/26,Home,TOR,L,115,126,0.512,0.417,0.875,9,32,31,2,4,13,24,0.512,0.483,0.848,11,36,24,7,7,11,24
