Source,Target,Trade_Id,Bitcoins,Money,Money_Rate,Date
2824,895,35471,9.7,7.711,0.794948454,2011-04-02
895,3535,35472,20,15.61,0.7805,2011-04-02
895,2654,35473,9.74,7.593,0.779568789,2011-04-02
3535,3641,35474,20,15.89,0.7945,2011-04-02
646,3641,35475,7.9,6.276,0.79443038,2011-04-02
2824,3641,35476,7.212,5.733,0.794925125,2011-04-02
2387,3535,35477,12.86,10.029,0.779860031,2011-04-02
895,3535,35478,7.14,5.568,0.779831933,2011-04-02
895,2654,35479,15.32,11.943,0.779569191,2011-04-02
895,2654,35480,50,38.98,0.7796,2011-04-02
3443,293,35481,10,7.947,0.7947,2011-04-02
3443,293,35482,8.99,7.145,0.794771969,2011-04-02
3535,293,35483,6.01,4.776,0.794675541,2011-04-02
3535,293,35484,6.99,5.555,0.794706724,2011-04-02
2824,293,35485,8.01,6.367,0.794881398,2011-04-02
2824,293,35486,5.078,4.037,0.794998031,2011-04-02
3341,293,35487,9.922,7.903,0.7965128,2011-04-02
3341,293,35488,15,11.949,0.7966,2011-04-02
3341,293,35489,15,11.949,0.7966,2011-04-02
3341,293,35490,15,11.949,0.7966,2011-04-02
100,895,35491,14,11.148,0.796285714,2011-04-02
3341,895,35492,9.713,7.736,0.796458355,2011-04-02
3341,895,35493,20.13,16.033,0.796472926,2011-04-02
3341,895,35494,20.13,16.033,0.796472926,2011-04-02
3341,895,35495,20.13,16.033,0.796472926,2011-04-02
3341,31,35496,44.277,35.266,0.79648576,2011-04-02
4205,31,35497,15.2,12.106,0.796447368,2011-04-02
3353,31,35498,40.523,32.28,0.796584656,2011-04-02
3353,895,35499,20.13,16.035,0.79657228,2011-04-02
3353,895,35500,34.03,27.107,0.796561857,2011-04-02
3353,895,35501,20.13,16.035,0.79657228,2011-04-02
3353,895,35502,20.13,16.035,0.79657228,2011-04-02
895,100,35503,13.54,10.565,0.78028065,2011-04-02
895,2824,35504,20,15.604,0.7802,2011-04-02
895,31,35505,45.42,35.418,0.779788639,2011-04-02
100,895,35506,13.45,10.684,0.794349442,2011-04-02
3560,895,35507,23.549,18.709,0.794471103,2011-04-02
895,3353,35508,70,54.593,0.7799,2011-04-02
895,100,35509,12.85,10.026,0.780233463,2011-04-02
895,3535,35510,4.15,3.237,0.78,2011-04-02
2718,293,35511,10,7.805,0.7805,2011-04-02
2718,293,35512,10,7.805,0.7805,2011-04-02
2718,293,35513,10,7.805,0.7805,2011-04-02
2718,293,35514,10,7.805,0.7805,2011-04-02
2718,293,35515,10,7.805,0.7805,2011-04-02
2718,293,35516,11,8.585,0.780454545,2011-04-02
293,3468,35517,10,7.936,0.7936,2011-04-02
293,895,35518,10.065,7.988,0.793641331,2011-04-02
895,3353,35519,42,32.781,0.7805,2011-04-02
293,895,35520,25.163,19.97,0.793625561,2011-04-02
895,4205,35521,15.4,12.027,0.780974026,2011-04-02
895,293,35522,48.043,37.503,0.780613201,2011-04-02
895,3353,35523,24.878,19.417,0.780488785,2011-04-02
895,293,35524,29.594,23.098,0.780496046,2011-04-02
895,2824,35525,10.366,8.089,0.780339572,2011-04-02
895,3535,35526,8.85,6.904,0.780112994,2011-04-02
895,31,35527,54.58,42.561,0.779791132,2011-04-02
895,3341,35528,58.289,45.447,0.779683988,2011-04-02
293,1425,35529,25.441,20.191,0.793640187,2011-04-02
3535,1425,35530,20,15.886,0.7943,2011-04-02
3560,1425,35531,37.351,29.675,0.794490107,2011-04-02
3353,1425,35532,178.14,141.619,0.794987089,2011-04-02
3006,1425,35533,100,79.5,0.795,2011-04-02
3111,1425,35534,115,91.586,0.7964,2011-04-02
3341,1425,35535,57.91,46.125,0.796494561,2011-04-02
1183,1425,35536,25.31,20.161,0.796562623,2011-04-02
3111,1425,35537,25,19.925,0.797,2011-04-02
100,1425,35538,10,7.979,0.7979,2011-04-02
646,1425,35539,21.848,17.434,0.797967777,2011-04-02
2824,895,35540,18.439,14.694,0.796897879,2011-04-02
2824,895,35541,20.13,16.041,0.796870343,2011-04-02
3106,3353,35542,10,7.805,0.7805,2011-04-02
4205,895,35543,27.3,21.758,0.796996337,2011-04-02
3966,895,35544,20.01,15.967,0.797951024,2011-04-02
258,895,35545,10,7.99,0.799,2011-04-02
3768,895,35546,6.703,5.361,0.799791138,2011-04-02
3111,895,35547,20.14,16.071,0.79796425,2011-04-02
3111,895,35548,9.86,7.868,0.797971602,2011-04-02
3353,895,35549,9.93,7.941,0.799697885,2011-04-02
3768,895,35550,0.34,0.271,0.797058824,2011-04-02
1276,4205,35551,27.647,21.619,0.781965494,2011-04-02
1276,2824,35552,39.044,30.532,0.78198955,2011-04-02
1276,3353,35553,105.13,82.21,0.78198421,2011-04-02
1276,895,35554,20.13,15.741,0.781967213,2011-04-02
1276,3971,35555,1500,1172.985,0.78199,2011-04-03
895,3353,35556,26.41,20.597,0.77989398,2011-04-03
895,3353,35557,15,11.698,0.779866667,2011-04-03
1276,895,35558,12.45,9.736,0.782008032,2011-04-03
895,3353,35559,33.701,26.283,0.779887837,2011-04-03
895,3535,35560,21,16.377,0.779857143,2011-04-03
895,3341,35561,82.769,64.543,0.779796784,2011-04-03
3914,3341,35562,89.532,69.817,0.779799401,2011-04-03
3914,2654,35563,10.44,8.139,0.779597701,2011-04-03
3914,3466,35564,65,50.57,0.778,2011-04-03
3914,1559,35565,32.385,25.179,0.777489579,2011-04-03
3914,646,35566,52.643,40.903,0.776988394,2011-04-03
1276,895,35567,20.13,15.741,0.781967213,2011-04-03
1276,895,35568,13.085,10.231,0.781887658,2011-04-03
4020,646,35569,10.57,8.212,0.776915799,2011-04-03
895,293,35570,40.159,31.251,0.778181728,2011-04-03
895,646,35571,26.121,20.296,0.776999349,2011-04-03
1276,293,35572,21.132,16.525,0.7819894,2011-04-03
3535,293,35573,20,15.8,0.79,2011-04-03
3353,293,35574,14.868,11.818,0.794861447,2011-04-03
2404,100,35575,10.91,8.478,0.777085243,2011-04-03
2404,646,35576,15.09,11.726,0.777070908,2011-04-03
3258,100,35577,10,7.771,0.7771,2011-04-03
293,895,35578,18.801,14.888,0.791872773,2011-04-03
895,100,35579,10,7.776,0.7776,2011-04-03
895,3794,35580,62,48.205,0.7775,2011-04-03
3682,895,35581,10,7.9,0.79,2011-04-03
293,895,35582,44.27,35.056,0.791868082,2011-04-03
293,4020,35583,10.299,8.155,0.791824449,2011-04-03
4047,2204,35584,15,11.67,0.778,2011-04-03
293,2204,35585,3.17,2.51,0.791798107,2011-04-03
3397,2204,35586,50,39.605,0.7921,2011-04-03
3403,2204,35587,12.83,10.163,0.792127825,2011-04-03
895,2204,35588,40,31.16,0.779,2011-04-03
895,293,35589,108.156,84.231,0.778791745,2011-04-03
895,3535,35590,20,15.564,0.7782,2011-04-03
895,3794,35591,31.844,24.758,0.777477704,2011-04-03
2777,895,35592,80.52,63.61,0.789990065,2011-04-03
895,2204,35593,16.88,13.132,0.777962085,2011-04-03
895,2204,35594,33.12,25.767,0.77798913,2011-04-03
